date,information
20250108,삼성전자(주) 연결재무제표기준영업(잠정)실적(공정공시)
20250131,삼성전자(주) 연결재무제표기준영업(잠정)실적(공정공시)
20250131,삼성전자(주) 매출액또는손익구조30%(대규모법인은15%)이상변경
20250131,삼성전자(주) (정정)장래사업ㆍ경영 계획(공정공시)
20250131,삼성전자(주) (정정)연결재무제표기준영업(잠정)실적(공정공시)
20250218,삼성전자(주) 주식 소각 결정
20250218,삼성전자(주) 자기주식 취득 결정
20250218,삼성전자(주) 주주총회소집결의
20250218,삼성전자(주) 기타 경영사항(자율공시)
20250218,삼성전자(주) (정정)자기주식 취득 결정
20250218,삼성전자(주) 기타 경영사항(자율공시)
20250228,삼성전자(주) 변경상장(주식소각)
20250319,삼성전자(주) 정기주주총회결과
20250319,삼성전자(주) 대표이사(대표집행임원) 변경(안내공시)
20250325,삼성전자(주) 대표이사(대표집행임원) 변경(안내공시)
20250408,삼성전자(주) 연결재무제표기준영업(잠정)실적(공정공시)
20250430,삼성전자(주) 연결재무제표기준영업(잠정)실적(공정공시)
20250430,삼성전자(주) (정정)연결재무제표기준영업(잠정)실적(공정공시)
20250430,삼성전자(주) 기타 경영사항(자율공시)
20250430,삼성전자(주) 기타 경영사항(자율공시)
20250523,삼성전자(주) 자기주식 처분 결정
